접수연도,자치구코드,자치구명,법정동코드,법정동명,지번구분,지번구분명,본번,부번,건물명,계약일,물건금액(만원),건물면적(㎡),토지면적(㎡),층,권리구분,취소일,건축년도,건물용도,신고구분,신고시군구명
2025,11230,동대문구,10200,용두동,1,대지,779,0,신동아,20251231,94000,84.63,0,6,,,1994,아파트,중개거래,서울 동대문구
2025,11230,동대문구,10800,회기동,1,대지,65,0,신현대,20251231,69000,60.48,0,1,,,1989,아파트,중개거래,서울 동대문구
2025,11320,도봉구,10500,쌍문동,1,대지,103,69,쌍문리버뷰,20251231,41000,45.88,0,6,,,2019,아파트,중개거래,서울 도봉구
2025,11740,강동구,10700,암사동,1,대지,509,0,선사현대아파트,20251231,129700,58.68,0,7,,,2000,아파트,중개거래,"경기 남양주시, 서울 강동구"
2025,11470,양천구,10200,목동,1,대지,523,17,세교예지안3차,20251231,59000,35.06,28,3,,,2015,연립다세대,중개거래,서울 양천구
2025,11710,송파구,11300,거여동,1,대지,697,0,송파시그니처롯데캐슬,20251231,174500,59.98,0,23,,,2021,아파트,중개거래,서울 송파구
2025,11320,도봉구,10600,방학동,1,대지,271,1,신동아아파트1,20251231,68000,112.49,0,7,,,1986,아파트,중개거래,서울 도봉구
2025,11560,영등포구,13200,신길동,1,대지,4964,0,신길센트럴자이아파트,20251231,167000,59.98,0,24,,,2021,아파트,중개거래,서울 영등포구
2025,11560,영등포구,13200,신길동,1,대지,4967,0,신길파크자이,20251231,170000,84.99,0,1,,,2022,아파트,중개거래,서울 영등포구
2025,11410,서대문구,11200,대현동,1,대지,104,5,신촌푸르지오시티,20251231,23000,26.822,37.131,4,,,2014,오피스텔,중개거래,서울 서대문구
2025,11260,중랑구,10600,신내동,1,대지,650,0,신내6대주,20251231,59800,59.76,0,8,,,1996,아파트,중개거래,서울 중랑구
2025,11590,동작구,10100,노량진동,1,대지,325,0,신동아리버파크,20251231,144000,84.88,0,3,,,2001,아파트,중개거래,서울 동작구
2025,11710,송파구,11300,거여동,1,대지,697,0,송파시그니처롯데캐슬,20251231,199000,84.98,0,13,,,2021,아파트,중개거래,서울 송파구
2025,11530,구로구,10100,신도림동,1,대지,435,10,신도림3차푸르지오,20251231,86800,99.84,127.32,12,,,2007,오피스텔,중개거래,서울 구로구
2025,11470,양천구,10100,신정동,1,대지,1259,0,신트리1,20251231,75500,49.95,0,12,,,1999,아파트,중개거래,서울 양천구
2025,11305,강북구,10100,미아동,1,대지,813,0,래미안트리베라1단지,20251231,90000,84.97,0,6,,,2010,아파트,중개거래,"서울 강북구, 서울 성북구"
2025,11560,영등포구,11200,당산동2가,1,대지,164,0,당산2가현대홈타운,20251231,152000,82.77,0,18,,,1994,아파트,중개거래,서울 영등포구
2025,11230,동대문구,11000,이문동,1,대지,429,0,대성유니드아파트,20251231,80000,84.97,0,5,,,2012,아파트,중개거래,서울 동대문구
2025,11350,노원구,10500,상계동,1,대지,1078,0,현대2차,20251231,54000,82.68,0,10,,,1993,아파트,중개거래,서울 노원구
2025,11290,성북구,13600,하월곡동,1,대지,228,0,꿈의숲푸르지오,20251231,80000,59.65,0,8,,,2010,아파트,중개거래,서울 성북구
2025,11230,동대문구,10500,답십리동,1,대지,41,0,동서울한양,20251231,63500,76.41,0,2,,,1989,아파트,중개거래,서울 동대문구
2025,11230,동대문구,10500,답십리동,1,대지,41,0,동서울한양,20251231,56000,59.67,0,2,,,1989,아파트,중개거래,서울 동대문구
2025,11200,성동구,11300,옥수동,1,대지,561,0,래미안 옥수 리버젠,20251231,224000,59.98,0,3,,,2012,아파트,중개거래,서울 성동구
2025,11320,도봉구,10700,창동,1,대지,26,0,동아,20251231,70000,89.45,0,3,,,1988,아파트,직거래,
2025,11560,영등포구,13200,신길동,1,대지,4945,0,래미안영등포프레비뉴,20251231,162800,84.98,0,3,,,2015,아파트,중개거래,서울 영등포구
2025,11470,양천구,10100,신정동,1,대지,1327,0,호반써밋목동,20251231,134000,59.918,0,9,,,2022,아파트,중개거래,"서울 강남구, 서울 양천구"
2025,11290,성북구,13800,장위동,1,대지,320,0,래미안장위퍼스트하이,20251231,110000,59.99,0,13,,,2020,아파트,중개거래,서울 성북구
2025,11530,구로구,10600,고척동,1,대지,327,0,동아한신,20251231,58000,59.9,0,3,,,2000,아파트,중개거래,서울 구로구
2025,11530,구로구,10100,신도림동,1,대지,642,0,대림1,20251231,102500,59.88,0,1,,,1999,아파트,중개거래,서울 구로구
2025,11710,송파구,11200,오금동,1,대지,2,0,대림,20251231,250000,125.79,0,8,,,1988,아파트,중개거래,"서울 동대문구, 서울 송파구"
2025,11590,동작구,10200,상도동,1,대지,531,0,힐스테이트 상도 센트럴파크,20251231,183500,84.795,0,11,,,2012,아파트,중개거래,"경기 안양시 동안구, 서울 동작구"
2025,11350,노원구,10600,중계동,1,대지,593,0,삼성,20251231,83000,114.49,0,1,,,1999,아파트,중개거래,서울 노원구
